Body Regions|A01
Cytochrome P-450 Enzyme Inhibitors|D27.505.389.500,D27.505.519.389.335
14-alpha Demethylase Inhibitors|D27.505.389.500.059,D27.505.519.389.335.059,D27.505.519.389.870.100,D27.505.696.399.450.855.100
Cytochrome P-450 CYP1A2 Inhibitors|D27.505.389.500.120,D27.505.519.389.335.120
Cytochrome P-450 CYP2B6 Inhibitors|D27.505.389.500.260,D27.505.519.389.335.260
Cytochrome P-450 CYP2C8 Inhibitors|D27.505.389.500.308,D27.505.519.389.335.308
Cytochrome P-450 CYP2C9 Inhibitors|D27.505.389.500.315,D27.505.519.389.335.329
Cytochrome P-450 CYP2C19 Inhibitors|D27.505.389.500.319,D27.505.519.389.335.319
Cytochrome P-450 CYP2D6 Inhibitors|D27.505.389.500.368,D27.505.519.389.335.368
Cytochrome P-450 CYP2E1 Inhibitors|D27.505.389.500.421,D27.505.519.389.335.421
Cytochrome P-450 CYP3A Inhibitors|D27.505.389.500.503,D27.505.519.389.335.503
Molecular Mechanisms of Pharmacological Action|D27.505.519
Alkylating Agents|D27.505.519.124,D27.888.569.035
Antineoplastic Agents, Alkylating|D27.505.519.124.035,D27.505.954.248.150,D27.888.569.035.035
Amylin Receptor Agonists|D27.505.519.143,D27.505.696.422.374
Angiotensin Receptor Antagonists|D27.505.519.162
Angiotensin II Type 1 Receptor Blockers|D27.505.519.162.500
Angiotensin II Type 2 Receptor Blockers|D27.505.519.162.750
Antacids|D27.505.519.170,D27.505.954.483.080
Antidiuretic Hormone Receptor Antagonists|D27.505.519.174,D27.505.696.560.311
Antifoaming Agents|D27.505.519.178,D27.720.877.048
Antiglycation Agents|D27.505.519.182
Antimetabolites|D27.505.519.186,D27.888.569.042
Hypolipidemic Agents|D27.505.519.186.071,D27.505.954.557.500
Anticholesteremic Agents|D27.505.519.186.071.202,D27.505.954.557.500.202
Hydroxymethylglutaryl-CoA Reductase Inhibitors|D27.505.519.186.071.202.370,D27.505.519.389.370,D27.505.954.557.500.202.370
PCSK9 Inhibitors|D27.505.519.186.071.202.685,D27.505.519.389.745.800.506,D27.505.954.557.500.202.685
Fatty Acid Synthesis Inhibitors|D27.505.519.186.071.401
Lipotropic Agents|D27.505.519.186.071.601,D27.505.954.483.680,D27.505.954.557.500.601
Antimetabolites, Antineoplastic|D27.505.519.186.144,D27.505.954.248.144,D27.888.569.042.030
Free Radical Scavengers|D27.505.519.217.500
Bradykinin Receptor Antagonists|D27.505.519.265
Bradykinin B1 Receptor Antagonists|D27.505.519.265.249
Bradykinin B2 Receptor Antagonists|D27.505.519.265.500,D27.505.696.477.656.500.500
Calcitonin Gene-Related Peptide Receptor Antagonists|D27.505.519.270,D27.505.696.663.850.014.610,D27.505.954.427.040.409
CCR5 Receptor Antagonists|D27.505.519.275,D27.505.954.122.388.077.088.104
Cerumenolytic Agents|D27.505.519.295,D27.505.696.305,D27.720.877.383.500
Cystine Depleting Agents|D27.505.519.334
Endothelin Receptor Antagonists|D27.505.519.364
Endothelin A Receptor Antagonists|D27.505.519.364.500
Endothelin B Receptor Antagonists|D27.505.519.364.750
Enzyme Activators|D27.505.519.374
Carbamoyl Phosphate Synthetase I Activators|D27.505.519.374.099
GTP Phosphohydrolase Activators|D27.505.519.374.200
Guanylyl Cyclase C Agonists|D27.505.519.374.400,D27.505.954.483.590
Lipoprotein Lipase Activators|D27.505.519.374.600,D27.505.954.557.500.601.500
Enzyme Inhibitors|D27.505.519.389
5-Lipoxygenase-Activating Protein Inhibitors|D27.505.519.389.086
Acetaldehyde Dehydrogenase Inhibitors|D27.505.519.389.089
Adenosine Deaminase Inhibitors|D27.505.519.389.092
Adenylyl Cyclase Inhibitors|D27.505.519.389.108
Aromatic Amino Acid Decarboxylase Inhibitors|D27.505.519.389.124,D27.505.954.427.090.050.249
Calcineurin Inhibitors|D27.505.519.389.174
Carbonic Anhydrase Inhibitors|D27.505.519.389.200
Catechol O-Methyltransferase Inhibitors|D27.505.519.389.237,D27.505.954.427.090.050.500
Cholinesterase Inhibitors|D27.505.519.389.275,D27.505.519.625.120.300,D27.505.696.577.120.300
Cyclooxygenase Inhibitors|D27.505.519.389.310,D27.505.696.663.850.014.040.500.500,D27.505.954.158.030.500,D27.505.954.329.030.500
Cyclooxygenase 2 Inhibitors|D27.505.519.389.310.500,D27.505.696.663.850.014.040.500.500.500,D27.505.954.158.030.500.500,D27.505.954.329.030.500.500
Gamma Secretase Inhibitors and Modulators|D27.505.519.389.315
Glycoside Hydrolase Inhibitors|D27.505.519.389.320,D27.505.696.422.249
Folic Acid Antagonists|D27.505.519.389.350
Histone Deacetylase Inhibitors|D27.505.519.389.360
Integrase Inhibitors|D27.505.519.389.375
HIV Integrase Inhibitors|D27.505.519.389.375.400,D27.505.954.122.388.077.088.314
beta-Lactamase Inhibitors|D27.505.519.389.400,D27.505.954.122.085.516
Lipoxygenase Inhibitors|D27.505.519.389.480
Monoamine Oxidase Inhibitors|D27.505.519.389.616
Nucleic Acid Synthesis Inhibitors|D27.505.519.389.675
Reverse Transcriptase Inhibitors|D27.505.519.389.675.850,D27.505.954.122.388.308
Ornithine Decarboxylase Inhibitors|D27.505.519.389.705
Phosphodiesterase Inhibitors|D27.505.519.389.735
Phosphodiesterase 3 Inhibitors|D27.505.519.389.735.249
Phosphodiesterase 4 Inhibitors|D27.505.519.389.735.374
Phosphodiesterase 5 Inhibitors|D27.505.519.389.735.500
Phosphoinositide-3 Kinase Inhibitors|D27.505.519.389.736
Phospholipase A2 Inhibitors|D27.505.519.389.737
Poly(ADP-ribose) Polymerase Inhibitors|D27.505.519.389.739,D27.505.954.248.692
Prolyl-Hydroxylase Inhibitors|D27.505.519.389.740
Protease Inhibitors|D27.505.519.389.745
Angiotensin-Converting Enzyme Inhibitors|D27.505.519.389.745.085
Vasopeptidase Inhibitors|D27.505.519.389.745.085.500
Cysteine Proteinase Inhibitors|D27.505.519.389.745.325
Caspase Inhibitors|D27.505.519.389.745.325.500
Dipeptidyl-Peptidase IV Inhibitors|D27.505.519.389.745.335,D27.505.696.422.500
Matrix Metalloproteinase Inhibitors|D27.505.519.389.745.610
Proteasome Inhibitors|D27.505.519.389.745.705
Renin Inhibitors|D27.505.519.389.745.753
Serine Proteinase Inhibitors|D27.505.519.389.745.800
Antithrombins|D27.505.519.389.745.800.449,D27.505.954.502.119.500
Factor Xa Inhibitors|D27.505.519.389.745.800.449.500,D27.505.954.502.119.500.500
Trypsin Inhibitors|D27.505.519.389.745.800.900
Viral Protease Inhibitors|D27.505.519.389.745.900,D27.505.954.122.388.769
Coronavirus Protease Inhibitors|D27.505.519.389.745.900.250,D27.505.954.122.388.769.250
HCV NS3-4A Protease Inhibitors|D27.505.519.389.745.900.375,D27.505.954.122.388.769.375
HIV Protease Inhibitors|D27.505.519.389.745.900.500,D27.505.954.122.388.077.088.420,D27.505.954.122.388.769.500
Protein Kinase Inhibitors|D27.505.519.389.755
Janus Kinase Inhibitors|D27.505.519.389.755.500
MTOR Inhibitors|D27.505.519.389.755.750,D27.505.696.477.656.625,D27.505.954.248.538
Tyrosine Kinase Inhibitors|D27.505.519.389.755.875
Protein Synthesis Inhibitors|D27.505.519.389.760
Proton Pump Inhibitors|D27.505.519.389.848
Steroid Synthesis Inhibitors|D27.505.519.389.870,D27.505.696.399.450.855
5-alpha Reductase Inhibitors|D27.505.519.389.870.200,D27.505.696.399.450.855.200
Aromatase Inhibitors|D27.505.519.389.870.300,D27.505.696.399.450.327.149,D27.505.696.399.450.855.300
Topoisomerase Inhibitors|D27.505.519.389.892,D27.505.954.248.794
Topoisomerase I Inhibitors|D27.505.519.389.892.500,D27.505.954.248.794.500
Topoisomerase II Inhibitors|D27.505.519.389.892.750,D27.505.954.248.794.750
Uncoupling Agents|D27.505.519.389.936
Proton Ionophores|D27.505.519.389.936.500,D27.505.519.562.374.500,D27.720.395.500
Enzyme Reactivators|D27.505.519.405
Cholinesterase Reactivators|D27.505.519.405.347,D27.505.519.625.120.400,D27.505.696.577.120.400
Fibrin Modulating Agents|D27.505.519.421
Antifibrinolytic Agents|D27.505.519.421.500,D27.505.954.502.270.463.091
Fibrinolytic Agents|D27.505.519.421.750,D27.505.954.411.320,D27.505.954.502.427
Heparin Antagonists|D27.505.519.452,D27.505.954.502.270.546
Immune Checkpoint Inhibitors|D27.505.519.507,D27.505.954.248.384.500
Membrane Transport Modulators|D27.505.519.562
Acetylcholine Release Inhibitors|D27.505.519.562.061,D27.505.519.625.120.069,D27.505.696.577.120.069
Calcium Channel Agonists|D27.505.519.562.124,D27.505.696.260.250,D27.505.954.411.793.205
Calcium Channel Blockers|D27.505.519.562.249,D27.505.696.260.500,D27.505.954.411.192
Chloride Channel Agonists|D27.505.519.562.311
Ionophores|D27.505.519.562.374,D27.720.395
Calcium Ionophores|D27.505.519.562.374.100,D27.720.395.100
Potassium Ionophores|D27.505.519.562.374.400,D27.720.395.400
Sodium Ionophores|D27.505.519.562.374.750,D27.720.395.750
Neurotransmitter Uptake Inhibitors|D27.505.519.562.437,D27.505.519.625.600,D27.505.696.577.600
Adrenergic Uptake Inhibitors|D27.505.519.562.437.050,D27.505.519.625.050.601,D27.505.519.625.600.050,D27.505.696.577.050.601,D27.505.696.577.600.050
Dopamine Uptake Inhibitors|D27.505.519.562.437.220,D27.505.519.625.150.800,D27.505.519.625.600.220,D27.505.696.577.150.800,D27.505.696.577.600.220
GABA Uptake Inhibitors|D27.505.519.562.437.535,D27.505.519.625.240.750,D27.505.519.625.600.535,D27.505.696.577.240.750,D27.505.696.577.600.535
Serotonin and Noradrenaline Reuptake Inhibitors|D27.505.519.562.437.693,D27.505.519.625.600.693,D27.505.696.577.600.693
Selective Serotonin Reuptake Inhibitors|D27.505.519.562.437.850,D27.505.519.625.600.850,D27.505.519.625.850.900,D27.505.696.577.600.850,D27.505.696.577.850.900
Potassium Channel Blockers|D27.505.519.562.500,D27.505.954.411.645
Sodium Channel Agonists|D27.505.519.562.625
Epithelial Sodium Channel Agonists|D27.505.519.562.625.249
Voltage-Gated Sodium Channel Agonists|D27.505.519.562.625.500
Sodium Channel Blockers|D27.505.519.562.750,D27.505.954.411.720
Acid Sensing Ion Channel Blockers|D27.505.519.562.750.100
Epithelial Sodium Channel Blockers|D27.505.519.562.750.374,D27.505.696.560.500.726.100
Voltage-Gated Sodium Channel Blockers|D27.505.519.562.750.500,D27.505.954.411.720.500
Sodium Chloride Symporter Inhibitors|D27.505.519.562.812,D27.505.696.560.500.863
Sodium Potassium Chloride Symporter Inhibitors|D27.505.519.562.906,D27.505.696.560.500.931
Mitosis Modulators|D27.505.519.593
Antimitotic Agents|D27.505.519.593.249,D27.505.954.248.147
Tubulin Modulators|D27.505.519.593.249.500
Mitogens|D27.505.519.593.624
Neurotransmitter Agents|D27.505.519.625,D27.505.696.577
Adrenergic Agents|D27.505.519.625.050,D27.505.696.577.050
Adrenergic Agonists|D27.505.519.625.050.100,D27.505.696.577.050.100
Adrenergic alpha-Agonists|D27.505.519.625.050.100.100,D27.505.696.577.050.100.100
Adrenergic alpha-1 Receptor Agonists|D27.505.519.625.050.100.100.100,D27.505.696.577.050.100.100.100
Adrenergic alpha-2 Receptor Agonists|D27.505.519.625.050.100.100.200,D27.505.696.577.050.100.100.200
Adrenergic beta-Agonists|D27.505.519.625.050.100.200,D27.505.696.577.050.100.200
Adrenergic beta-1 Receptor Agonists|D27.505.519.625.050.100.200.100,D27.505.696.577.050.100.200.100
Adrenergic beta-2 Receptor Agonists|D27.505.519.625.050.100.200.200,D27.505.696.577.050.100.200.200
Adrenergic beta-3 Receptor Agonists|D27.505.519.625.050.100.200.300,D27.505.696.577.050.100.200.300
Adrenergic Antagonists|D27.505.519.625.050.200,D27.505.696.577.050.200
Adrenergic alpha-Antagonists|D27.505.519.625.050.200.100,D27.505.696.577.050.200.100
Adrenergic alpha-1 Receptor Antagonists|D27.505.519.625.050.200.100.100,D27.505.696.577.050.200.100.100
Adrenergic alpha-2 Receptor Antagonists|D27.505.519.625.050.200.100.200,D27.505.696.577.050.200.100.200
Adrenergic beta-Antagonists|D27.505.519.625.050.200.200,D27.505.696.577.050.200.200
Adrenergic beta-1 Receptor Antagonists|D27.505.519.625.050.200.200.100,D27.505.696.577.050.200.200.100
Adrenergic beta-2 Receptor Antagonists|D27.505.519.625.050.200.200.200,D27.505.696.577.050.200.200.200
Adrenergic beta-3 Receptor Antagonists|D27.505.519.625.050.200.200.300,D27.505.696.577.050.200.200.300
Cannabinoid Receptor Modulators|D27.505.519.625.085,D27.505.696.399.472.188
Cannabinoid Receptor Agonists|D27.505.519.625.085.500,D27.505.696.399.472.188.500
Cannabinoid Receptor Antagonists|D27.505.519.625.085.750,D27.505.696.399.472.188.750
Cholinergic Agents|D27.505.519.625.120,D27.505.696.577.120
Cholinergic Agonists|D27.505.519.625.120.140,D27.505.696.577.120.140
Muscarinic Agonists|D27.505.519.625.120.140.500,D27.505.696.577.120.140.500
Nicotinic Agonists|D27.505.519.625.120.140.700,D27.505.696.577.120.140.700
Cholinergic Antagonists|D27.505.519.625.120.200,D27.505.696.577.120.200
Muscarinic Antagonists|D27.505.519.625.120.200.500,D27.505.696.577.120.200.500
Nicotinic Antagonists|D27.505.519.625.120.200.700,D27.505.696.577.120.200.700
Dopamine Agents|D27.505.519.625.150,D27.505.696.577.150
Dopamine Agonists|D27.505.519.625.150.151,D27.505.696.577.150.151
Dopamine Antagonists|D27.505.519.625.150.175,D27.505.696.577.150.175
Dopamine D2 Receptor Antagonists|D27.505.519.625.150.175.500,D27.505.696.577.150.175.500
Excitatory Amino Acid Agents|D27.505.519.625.190,D27.505.696.577.190
Excitatory Amino Acid Agonists|D27.505.519.625.190.200,D27.505.696.577.190.200
Excitatory Amino Acid Antagonists|D27.505.519.625.190.300,D27.505.696.577.190.300
GABA Agents|D27.505.519.625.240,D27.505.696.577.240
GABA Agonists|D27.505.519.625.240.200,D27.505.696.577.240.200
GABA-A Receptor Agonists|D27.505.519.625.240.200.500,D27.505.696.577.240.200.500
GABA-B Receptor Agonists|D27.505.519.625.240.200.750,D27.505.696.577.240.200.750
GABA Antagonists|D27.505.519.625.240.300,D27.505.696.577.240.300
GABA-A Receptor Antagonists|D27.505.519.625.240.300.500,D27.505.696.577.240.300.500
GABA-B Receptor Antagonists|D27.505.519.625.240.300.750,D27.505.696.577.240.300.750
GABA Modulators|D27.505.519.625.240.500,D27.505.696.577.240.500
Glycine Agents|D27.505.519.625.300,D27.505.696.577.300
Histamine Agents|D27.505.519.625.375,D27.505.696.577.375
Histamine Agonists|D27.505.519.625.375.400,D27.505.696.577.375.400
Histamine Antagonists|D27.505.519.625.375.425,D27.505.696.577.375.425
Histamine H1 Antagonists|D27.505.519.625.375.425.400,D27.505.696.577.375.425.400
Histamine H1 Antagonists, Non-Sedating|D27.505.519.625.375.425.400.500,D27.505.696.577.375.425.400.500
Histamine H2 Antagonists|D27.505.519.625.375.425.425,D27.505.696.577.375.425.425
Histamine H3 Antagonists|D27.505.519.625.375.425.712,D27.505.696.577.375.425.712
Neurokinin-1 Receptor Antagonists|D27.505.519.625.487,D27.505.696.577.487
Neurosteroids|D27.505.519.625.544,D27.505.696.577.544
Orexin Receptor Antagonists|D27.505.519.625.663,D27.505.696.277.350.500.500,D27.505.696.577.663,D27.505.954.427.210.350.500.500
Purinergic Agents|D27.505.519.625.725,D27.505.696.577.725
Purinergic Agonists|D27.505.519.625.725.200,D27.505.696.577.725.200
Purinergic P1 Receptor Agonists|D27.505.519.625.725.200.100,D27.505.696.577.725.200.100
Adenosine A1 Receptor Agonists|D27.505.519.625.725.200.100.100,D27.505.696.577.725.200.100.100
Adenosine A2 Receptor Agonists|D27.505.519.625.725.200.100.200,D27.505.696.577.725.200.100.200
Adenosine A3 Receptor Agonists|D27.505.519.625.725.200.100.300,D27.505.696.577.725.200.100.300
Purinergic P2 Receptor Agonists|D27.505.519.625.725.200.200,D27.505.696.577.725.200.200
Purinergic P2X Receptor Agonists|D27.505.519.625.725.200.200.100,D27.505.696.577.725.200.200.100
Purinergic P2Y Receptor Agonists|D27.505.519.625.725.200.200.200,D27.505.696.577.725.200.200.200
Purinergic Antagonists|D27.505.519.625.725.400,D27.505.696.577.725.400
Purinergic P1 Receptor Antagonists|D27.505.519.625.725.400.100,D27.505.696.577.725.400.100
Adenosine A1 Receptor Antagonists|D27.505.519.625.725.400.100.100,D27.505.696.577.725.400.100.100
Adenosine A2 Receptor Antagonists|D27.505.519.625.725.400.100.200,D27.505.696.577.725.400.100.200
Adenosine A3 Receptor Antagonists|D27.505.519.625.725.400.100.300,D27.505.696.577.725.400.100.300
Purinergic P2 Receptor Antagonists|D27.505.519.625.725.400.200,D27.505.696.577.725.400.200
Purinergic P2X Receptor Antagonists|D27.505.519.625.725.400.200.100,D27.505.696.577.725.400.200.100
Purinergic P2Y Receptor Antagonists|D27.505.519.625.725.400.200.200,D27.505.696.577.725.400.200.200
Serotonin Agents|D27.505.519.625.850,D27.505.696.577.850
Serotonin Receptor Agonists|D27.505.519.625.850.800,D27.505.696.577.850.800
Serotonin 5-HT1 Receptor Agonists|D27.505.519.625.850.800.100,D27.505.696.577.850.800.100
Serotonin 5-HT2 Receptor Agonists|D27.505.519.625.850.800.200,D27.505.696.577.850.800.200
Serotonin 5-HT3 Receptor Agonists|D27.505.519.625.850.800.300,D27.505.696.577.850.800.300
Serotonin 5-HT4 Receptor Agonists|D27.505.519.625.850.800.400,D27.505.696.577.850.800.400
Serotonin Antagonists|D27.505.519.625.850.850,D27.505.696.577.850.850
Serotonin 5-HT1 Receptor Antagonists|D27.505.519.625.850.850.100,D27.505.696.577.850.850.100
Serotonin 5-HT2 Receptor Antagonists|D27.505.519.625.850.850.200,D27.505.696.577.850.850.200
Serotonin 5-HT3 Receptor Antagonists|D27.505.519.625.850.850.300,D27.505.696.577.850.850.300
Serotonin 5-HT4 Receptor Antagonists|D27.505.519.625.850.850.400,D27.505.696.577.850.850.400
Nitric Oxide Donors|D27.505.519.656,D27.505.954.411.590
Peptidomimetics|D27.505.519.828
Sequestering Agents|D27.505.519.914,D27.720.832
Chelating Agents|D27.505.519.914.500,D27.720.832.500
Calcium Chelating Agents|D27.505.519.914.500.204,D27.720.832.500.204
Iron Chelating Agents|D27.505.519.914.500.410,D27.720.832.500.410
Siderophores|D27.505.519.914.500.410.750,D27.720.832.500.410.750
Sodium-Glucose Transporter 2 Inhibitors|D27.505.519.936,D27.505.696.422.750
Sphingosine 1 Phosphate Receptor Modulators|D27.505.519.947,D27.505.696.477.656.875
Toll-Like Receptor Agonists|D27.505.519.952,D27.505.696.477.396.500
Viral Fusion Protein Inhibitors|D27.505.519.957,D27.505.954.122.388.538
HIV Fusion Inhibitors|D27.505.519.957.500,D27.505.954.122.388.077.088.209,D27.505.954.122.388.538.500
Physiological Effects of Drugs|D27.505.696
Antipyretics|D27.505.696.068
Antispermatogenic Agents|D27.505.696.138,D27.505.696.875.360.443.068,D27.505.954.705.360.443.068,D27.888.569.071
Sperm Immobilizing Agents|D27.505.696.138.379,D27.505.696.875.360.276.727,D27.505.954.705.360.276.727,D27.888.569.071.379
Spermatocidal Agents|D27.505.696.138.569,D27.505.696.875.360.276.827,D27.505.954.705.360.276.827,D27.888.569.071.569
Spermatogenesis-Blocking Agents|D27.505.696.138.760,D27.505.696.875.360.443.068.760,D27.505.954.705.360.443.068.760,D27.888.569.071.760
Astringents|D27.505.696.207,D27.505.954.444.100
Bone Density Conservation Agents|D27.505.696.242
Calcium-Regulating Hormones and Agents|D27.505.696.260
Central Nervous System Depressants|D27.505.696.277,D27.505.954.427.210
Anesthetics|D27.505.696.277.100,D27.505.954.427.210.100
Anesthetics, Combined|D27.505.696.277.100.017,D27.505.954.427.210.100.017
Anesthetics, General|D27.505.696.277.100.035,D27.505.954.427.210.100.035
Anesthetics, Inhalation|D27.505.696.277.100.035.060,D27.505.954.427.210.100.035.060
Anesthetics, Intravenous|D27.505.696.277.100.035.075,D27.505.954.427.210.100.035.075
Anesthetics, Dissociative|D27.505.696.277.100.035.075.035,D27.505.954.427.210.100.035.075.035
Anesthetics, Local|D27.505.696.277.100.200,D27.505.696.663.850.025,D27.505.954.427.210.100.200
Hypnotics and Sedatives|D27.505.696.277.350,D27.505.954.427.210.350
Sleep Aids, Pharmaceutical|D27.505.696.277.350.500,D27.505.954.427.210.350.500
Narcotics|D27.505.696.277.600,D27.505.696.663.850.014.760,D27.505.954.427.040.550,D27.505.954.427.210.600
Analgesics, Opioid|D27.505.696.277.600.500,D27.505.696.663.850.014.760.500,D27.505.954.427.040.550.500,D27.505.954.427.210.600.500
Tranquilizing Agents|D27.505.696.277.950,D27.505.954.427.210.950,D27.505.954.427.700.872
Anti-Anxiety Agents|D27.505.696.277.950.015,D27.505.954.427.210.950.015,D27.505.954.427.700.872.015
Antimanic Agents|D27.505.696.277.950.025,D27.505.954.427.210.950.025,D27.505.954.427.700.872.025
Antipsychotic Agents|D27.505.696.277.950.040,D27.505.954.427.210.950.040,D27.505.954.427.700.872.331
Central Nervous System Stimulants|D27.505.696.282,D27.505.954.427.220
Aphrodisiacs|D27.505.696.282.045,D27.505.954.427.220.045
Appetite Stimulants|D27.505.696.282.050,D27.505.954.427.220.050
Convulsants|D27.505.696.282.224,D27.505.954.427.220.224
Emetics|D27.505.696.329,D27.505.696.663.050.225,D27.505.954.427.270,D27.505.954.483.560
Endocrine Disruptors|D27.505.696.353,D27.888.141
Galactogogues|D27.505.696.365
Growth Substances|D27.505.696.377
Angiogenesis Modulating Agents|D27.505.696.377.077
Angiogenesis Inducing Agents|D27.505.696.377.077.077
Angiogenesis Inhibitors|D27.505.696.377.077.099,D27.505.696.377.450.100,D27.505.954.248.025
Growth Inhibitors|D27.505.696.377.450
Plant Growth Regulators|D27.505.696.377.760
Hallucinogens|D27.505.696.388,D27.505.954.427.700.372
Anabolic Agents|D27.505.696.399.472.080
Androgens|D27.505.696.399.472.161
Estrogens|D27.505.696.399.472.277
Estrogens, Non-Steroidal|D27.505.696.399.472.277.540
Phytoestrogens|D27.505.696.399.472.277.540.500
Incretins|D27.505.696.399.472.580
Mineralocorticoids|D27.505.696.399.472.673
Progestins|D27.505.696.399.472.858
Hypoglycemic Agents|D27.505.696.422
Glucagon-Like Peptide-1 Receptor Agonists|D27.505.696.422.125
Insulin Secretagogues|D27.505.696.422.625
PPAR-gamma Agonists|D27.505.696.422.688
Immunologic Factors|D27.505.696.477
Adjuvants, Immunologic|D27.505.696.477.067
Agglutinins|D27.505.696.477.136,D27.505.954.502.270.232
Hemagglutinins|D27.505.696.477.136.377,D27.505.954.502.270.232.500
Immunomodulating Agents|D27.505.696.477.396
Immunosuppressive Agents|D27.505.696.477.656
Complement Inactivating Agents|D27.505.696.477.656.500
Interleukin Inhibitors|D27.505.696.477.656.563
Interleukin-6 Inhibitors|D27.505.696.477.656.594
Myeloablative Agonists|D27.505.696.477.656.750,D27.505.954.248.589
Interferon Inducers|D27.505.696.477.828
Mast Cell Stabilizers|D27.505.696.477.914,D27.505.954.016.500,D27.505.954.158.636
Micronutrients|D27.505.696.494,G07.203.300.681.500,J02.500.681.500
Vitamins|D27.505.696.494.600,G07.203.300.681.500.600,J02.500.681.500.600
Provitamins|D27.505.696.494.600.354,G07.203.300.681.500.600.500,J02.500.681.500.600.500
Vitamin B Complex|D27.505.696.494.600.708
Muscle Relaxants, Central|D27.505.696.510,D27.505.696.663.700.600,D27.505.954.427.525
Narcotic Antagonists|D27.505.696.543,D27.505.696.663.850.512,D27.505.954.427.550
Natriuretic Agents|D27.505.696.560,D27.505.954.411.455
Antidiuretic Agents|D27.505.696.560.249
Antihyperkalemic Agents|D27.505.696.560.374
Diuretics|D27.505.696.560.500
Diuretics, Osmotic|D27.505.696.560.500.453
Diuretics, Potassium Sparing|D27.505.696.560.500.726
Performance-Enhancing Substances|D27.505.696.620
Peripheral Nervous System Agents|D27.505.696.663
Autonomic Agents|D27.505.696.663.050
Antiemetics|D27.505.696.663.050.030,D27.505.954.427.095,D27.505.954.483.200
Bronchoconstrictor Agents|D27.505.696.663.050.100,D27.505.954.796.170
Bronchodilator Agents|D27.505.696.663.050.110,D27.505.954.796.050.100
Ganglionic Blockers|D27.505.696.663.050.340
Ganglionic Stimulants|D27.505.696.663.050.400
Miotics|D27.505.696.663.050.495
Mydriatics|D27.505.696.663.050.500
Parasympatholytics|D27.505.696.663.050.650
Parasympathomimetics|D27.505.696.663.050.675
Sympatholytics|D27.505.696.663.050.850
Sympathomimetics|D27.505.696.663.050.870
Neuromuscular Agents|D27.505.696.663.700
Neuromuscular Blocking Agents|D27.505.696.663.700.710
Neuromuscular Depolarizing Agents|D27.505.696.663.700.710.550
Neuromuscular Nondepolarizing Agents|D27.505.696.663.700.710.575
Sensory System Agents|D27.505.696.663.850
Analgesics|D27.505.696.663.850.014,D27.505.954.427.040
Analgesics, Non-Narcotic|D27.505.696.663.850.014.040,D27.505.954.427.040.100
Anti-Inflammatory Agents, Non-Steroidal|D27.505.696.663.850.014.040.500,D27.505.954.158.030,D27.505.954.329.030
Analgesics, Short-Acting|D27.505.696.663.850.014.580,D27.505.954.427.040.381
Dentin Desensitizing Agents|D27.505.696.663.850.014.640,D27.505.954.427.040.437
Protective Agents|D27.505.696.706,D27.720.799
Anticarcinogenic Agents|D27.505.696.706.018,D27.505.954.248.125,D27.720.799.018
Antidotes|D27.505.696.706.037,D27.720.799.037
Antimutagenic Agents|D27.505.696.706.080,D27.720.799.042
Cryoprotective Agents|D27.505.696.706.320,D27.720.799.180
Insect Repellents|D27.505.696.706.434,D27.720.031.700.441,D27.888.723.441
Neuroprotective Agents|D27.505.696.706.548,D27.505.954.427.575
Radiation-Protective Agents|D27.505.696.706.776,D27.720.799.763
Sunscreening Agents|D27.505.696.706.776.800,D27.505.954.444.695,D27.720.269.800,D27.720.799.763.764
Viscosupplements|D27.505.696.706.888,D27.720.556.500,D27.720.944.500
Reproductive Control Agents|D27.505.696.875,D27.505.954.705
Abortifacient Agents|D27.505.696.875.131,D27.505.954.705.131
Abortifacient Agents, Nonsteroidal|D27.505.696.875.131.100,D27.505.954.705.131.100
Abortifacient Agents, Steroidal|D27.505.696.875.131.200,D27.505.954.705.131.200
Contraceptive Agents|D27.505.696.875.360,D27.505.954.705.360
Contraceptive Agents, Female|D27.505.696.875.360.276,D27.505.954.705.360.276
Contraceptives, Oral|D27.505.696.875.360.276.210,D27.505.954.705.360.276.210
Contraceptives, Oral, Hormonal|D27.505.696.875.360.276.210.277,D27.505.696.875.360.360.500,D27.505.954.705.360.276.210.277,D27.505.954.705.360.360.500
Contraceptives, Oral, Sequential|D27.505.696.875.360.276.210.400,D27.505.954.705.360.276.210.400
Contraceptives, Oral, Synthetic|D27.505.696.875.360.276.210.443,D27.505.954.705.360.276.210.443
Contraceptives, Postcoital|D27.505.696.875.360.276.310,D27.505.954.705.360.276.310
Contraceptives, Postcoital, Hormonal|D27.505.696.875.360.276.310.235,D27.505.696.875.360.360.750,D27.505.954.705.360.276.310.235,D27.505.954.705.360.360.750
Contraceptives, Postcoital, Synthetic|D27.505.696.875.360.276.310.360,D27.505.954.705.360.276.310.360
Luteolytic Agents|D27.505.696.875.360.276.450,D27.505.696.875.360.360.875,D27.505.696.875.610,D27.505.954.705.360.276.450,D27.505.954.705.360.360.875,D27.505.954.705.610
Menstruation-Inducing Agents|D27.505.696.875.360.276.500,D27.505.696.875.360.360.937,D27.505.954.705.360.276.500,D27.505.954.705.360.360.937,D27.505.954.705.650
Contraceptive Agents, Hormonal|D27.505.696.875.360.360,D27.505.954.705.360.360
Contraceptive Agents, Male|D27.505.696.875.360.443,D27.505.954.705.360.443
Fertility Agents|D27.505.696.875.552,D27.505.954.705.552
